date,mean_temperature,city
1982-12-01,20.56,curitiba
1983-01-01,22.93,curitiba
1983-02-01,22.53,curitiba
1983-03-01,20.18,curitiba
1983-04-01,19.04,curitiba
1983-05-01,17.49,curitiba
1983-06-01,13.43,curitiba
1983-07-01,15.49,curitiba
1983-08-01,15.85,curitiba
1983-09-01,14.12,curitiba
1983-10-01,17.73,curitiba
1983-11-01,21.08,curitiba
1983-12-01,21.93,curitiba
1984-01-01,,curitiba
1984-02-01,,curitiba
1984-03-01,,curitiba
1984-04-01,,curitiba
1984-05-01,,curitiba
1984-06-01,,curitiba
1984-07-01,,curitiba
1984-08-01,,curitiba
1984-09-01,16.09,curitiba
1984-10-01,19.27,curitiba
1984-11-01,19.1,curitiba
1984-12-01,20.41,curitiba
1985-01-01,20.82,curitiba
1985-02-01,,curitiba
1985-03-01,,curitiba
1985-04-01,,curitiba
1985-05-01,,curitiba
1985-06-01,,curitiba
1985-07-01,,curitiba
1985-08-01,,curitiba
1985-09-01,,curitiba
1985-10-01,19.48,curitiba
1985-11-01,,curitiba
1985-12-01,22.14,curitiba
1986-01-01,23.38,curitiba
1986-02-01,22.72,curitiba
1986-03-01,21.57,curitiba
